Post Date,Value Date,Branch,Journal No.,Description,Debit,Credit,
06/06/18 08.59.58,06/06/18 08.59.58,0767,753364,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301514 PS REBO",".00","457,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753380,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301524 CIKUNIR 2",".00","550,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753394,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301512 GEDONG 1",".00","123,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753459,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301527 KALIMALANG 1",".00","66,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753464,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301515 DUKUH 1",".00","645,000.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753478,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301525 CIKUNIR 4",".00","70,000.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753486,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301513 KP RAMBUTAN",".00","38,000.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753558,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301528 BINTARA",".00","218,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753565,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301516 DUKUH 3",".00","752,000.00",
06/06/18 08.59.59,06/06/18 08.59.59,0767,753570,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301538 PULO GEBANG",".00","191,500.00",
